Country;US 2024 Deficit;US 2024 Exports;US 2024 Imports (Customs Basis);Trump Tariffs Alleged;Trump Response;Population
Cote d'Ivoire;-418.1;596.6;1,014.70;41%;21%;31165654
Cuba;581.6;586.5;4.9;10%;10%;11019931
Curacao;791.6;823.5;31.9;10%;10%;147862
Djibouti;104.9;145;40.1;10%;10%;1152944
Dominica;56.5;58.8;2.3;10%;10%;66510
Dominican Republic**;5,576.20;13,081.70;7,505.40;10%;10%;11331265
Ecuador;-992.7;7,531.70;8,524.30;12%;10%;17980083
Egypt;3,546.00;6,092.00;2,546.00;10%;10%;114535772
El Salvador**;2,245.10;4,556.40;2,311.20;10%;10%;6309624
Equatorial Guinea;-32.3;95.4;127.6;25%;13%;1847549
Eritrea (-);140;185;216;10%;10%;3470390
Eswatini;23.5;46.1;22.6;10%;10%;1230506
Ethiopia;551.9;1,017.70;465.8;10%;10%;128691692
European Union;-235,571.20;370,189.20;605,760.40;39%;19%;448804042
Falkland Islands (Islas Malvinas) (-);85;209;159;10%;10%;
Faroe Islands;-248.1;1.4;249.5;99%;50%;54482
Fiji;-164.6;94.7;259.3;63%;32%;924145
French Guiana;27.2;29;1.8;10%;10%;
French Polynesia;104.8;145.2;40.4;10%;10%;281118
Gabon;-0.6;171.1;171.7;10%;10%;2484789
Gambia;78.6;80.6;2;10%;10%;2697845
Gaza Strip Administered by Israel (-);107;227;223;10%;10%;
Georgia;1,571.00;1,736.50;165.4;10%;10%;3715483
Ghana;-204.4;967.3;1,171.70;17%;10%;33787914
Gibraltar;650.2;650.6;0.4;10%;10%;38471
Greenland;15.8;48.4;32.6;10%;10%;56865
Grenada;151.3;165.3;14.1;10%;10%;117081
Guadeloupe;467.2;470.6;3.4;10%;10%;
Guatemala*;4,694.90;9,714.80;5,019.90;10%;10%;18124838
Guinea;132.2;138.3;6.2;10%;10%;14405468
Guinea-Bissau;3.3;3.4;0.1;10%;10%;2153339
Guyana;-4,060.60;1,314.90;5,375.50;76%;38%;826353
Haiti;597.7;1,214.40;616.8;10%;10%;11637398
Honduras**;1,524.90;7,057.50;5,532.60;10%;10%;10644851
Hong Kong;21,913.50;27,886.40;5,972.90;10%;10%;7536100
Iceland;-86.8;985.8;1,072.60;10%;10%;393349
India;-45,663.80;41,752.70;87,416.40;52%;26%;1438069596
Indonesia;-17,882.60;10,202.10;28,084.70;64%;32%;281190067
Iran;84.6;90.8;6.2;10%;10%;90608707
Iraq;-5,761.70;1,660.60;7,422.30;78%;39%;45074049
Israel*;-7,425.40;14,792.00;22,217.50;33%;17%;9756600
Jamaica;2,282.80;2,644.10;361.4;10%;10%;2839786
Japan;-68,467.70;79,740.80;148,208.60;46%;23%;124516650
Jordan*;-1,334.10;2,030.80;3,364.90;40%;20%;11439213
Kazakhstan;-1,253.70;1,077.10;2,330.70;54%;27%;20330104
Kenya;45.2;782.5;737.3;10%;10%;55339003
Kiribati (-);121;208;217;10%;10%;132530
Korea, North (-);114;219;228;10%;10%;
Korea, South*;-66,007.40;65,541.80;131,549.20;50%;25%;
Kosovo;15.4;49.4;34;10%;10%;1756366
Kuwait;768.2;2,411.80;1,643.60;10%;10%;4853420
Kyrgyzstan;116.5;133.1;16.7;10%;10%;
Laos;-762.9;40.4;803.3;95%;47%;
Lebanon;283.8;541.4;257.6;10%;10%;5773493
Lesotho;-234.5;2.8;237.3;99%;49%;2311472
Liberia;147.9;220.4;72.5;10%;10%;5493031
Libya;-898.3;567.2;1,465.60;61%;31%;7305659
Liechtenstein;-177.7;66;243.7;73%;36%;39850
Macau;166.3;275.1;108.8;10%;10%;
Madagascar;-679.8;53.4;733.2;93%;46%;31195932
Malawi;-14.1;26.9;41.1;34%;17%;21104482
Malaysia;-24,830.10;27,704.80;52,534.80;47%;24%;35126298
Maldives;87.8;92.6;4.8;10%;10%;525994
Mali;46;51.5;5.5;10%;10%;23769127
Marshall Islands;107;127.4;20.4;10%;10%;38827
Martinique;196.4;199.2;2.8;10%;10%;
Mauritania;136.9;139.8;2.9;10%;10%;5022441
Mauritius;-186.5;48;234.5;80%;40%;1261041
Mayotte;-0.1;1.8;1.9;10%;10%;
Mexico**;-171,809.20;334,041.40;505,850.60;34%;17%;129739759
Micronesia;48;50.5;2.4;10%;10%;112630
Moldova;-82.9;53.6;136.5;61%;30%;2457783
Monaco;115.2;162.8;47.6;10%;10%;38956
Mongolia;369.6;396.6;27;10%;10%;3481145
Montenegro;12.3;27.7;15.4;10%;10%;616177
Montserrat;6.4;12.1;5.6;10%;10%;
Morocco*;3,363.80;5,268.60;1,904.90;10%;10%;37712505
Mozambique;-66.4;149.7;216.1;31%;15%;33635160
Namibia;-114.7;160.5;275.2;42%;21%;2963095
Nauru;-1.3;0.9;2.2;59%;30%;11875
Nepal;0.4;120.9;120.5;10%;10%;29694614
New Caledonia;-4.5;29.4;33.8;13%;10%;289870
New Zealand;-1,117.60;4,499.40;5,617.00;20%;10%;5223100
Nicaragua**;-1,681.30;2,941.00;4,622.30;36%;18%;6823613
Niger;34.9;43.3;8.3;10%;10%;26159867
Nigeria;-1,524.90;4,174.30;5,699.20;27%;13%;227882945
Niue;-3.7;0.6;4.3;86%;43%;
Norfolk Island (-);100;230;224;10%;10%;
North Macedonia;-113.1;60.6;173.7;65%;33%;1827816
Norway;-1,991.30;4,592.00;6,583.30;30%;15%;5519594
Oman*;634.3;1,954.30;1,320.00;10%;10%;5049269
Pakistan;-2,988.50;2,135.10;5,123.70;58%;29%;247504495
Palau;18.8;21;2.2;10%;10%;17727
Panama*;10,146.30;10,702.10;555.8;10%;10%;4458759
Papua New Guinea;-12;67.2;79.2;15%;10%;10389635
Paraguay;2,802.30;3,158.40;356.2;10%;10%;6844146
Peru*;1,860.60;11,223.80;9,363.20;10%;10%;33845617
Philippines;-4,880.30;9,297.30;14,177.60;34%;17%;114891199
Pitcairn Islands (-);113;221;233;10%;10%;
Qatar;1,970.10;3,804.20;1,834.20;10%;10%;2656032
Reunion;-32.2;11.9;44.1;73%;37%;
Russia;-2,481.40;526.1;3,007.50;83%;41%;143826130
Rwanda;14.5;44.8;30.2;10%;10%;13954471
Samoa;48.7;54.4;5.7;10%;10%;216663
San Marino;54.8;80;25.2;10%;10%;33860
Sao Tome and Principe (-);111;222;219;10%;10%;230871
Saudi Arabia;443.3;13,177.00;12,733.70;10%;10%;33264292
Senegal;115.7;350.9;235.1;10%;10%;18077573
Serbia;-604.5;209.9;814.4;74%;37%;6623183
Seychelles;9.4;16.5;7.2;10%;10%;119773
Sierra Leone;91.1;119.9;28.7;10%;10%;8460512
Singapore*;2,828.90;46,032.60;43,203.70;10%;10%;5917648
Sint Maarten;652.4;753.9;101.5;10%;10%;42749
Solomon Islands;11.8;13.1;1.3;10%;10%;5426740
Somalia;46.6;49.1;2.5;10%;10%;18358615
South Africa;-8,836.80;5,819.00;14,655.80;60%;30%;63212384
South Sudan;58.5;59.3;0.8;10%;10%;11483374
Sri Lanka;-2,647.40;368.2;3,015.60;88%;44%;22037000
St Helena;-1.6;9;10.6;15%;10%;
St Kitts and Nevis;140.6;160.2;19.6;10%;10%;46758
St Lucia;1,036.60;1,043.60;7;10%;10%;179285
St Pierre and Miquelon (-);95;232;194;10%;10%;
St Vincent and the Grenadines;135;143.2;8.3;10%;10%;101323
Sudan;43.5;56.6;13.1;10%;10%;50042791
Suriname;292.6;383.5;90.9;10%;10%;628886
Svalbard, Jan Mayen Island (-);108;228;229;10%;10%;
Switzerland;-38,463.30;24,962.00;63,425.30;61%;30%;8888093
Syria (-);90;217;173;10%;10%;23594623
Taiwan;-73,927.20;42,336.90;116,264.00;64%;32%;
Tajikistan;52.2;56.8;4.6;10%;10%;10389799
Tanzania;368.7;573.4;204.7;10%;10%;
Thailand;-45,608.90;17,719.20;63,328.20;72%;36%;71702435
Timor-Leste;13.1;19;5.9;10%;10%;1384286
Togo;193.6;283.6;90;10%;10%;9304337
Tokelau (-);104;229;225;10%;10%;
Tonga;17.1;19.9;2.8;10%;10%;104597
Trinidad and Tobago;-386.2;2,939.70;3,325.90;12%;10%;1367510
Tunisia;-619.6;503.6;1,123.20;55%;28%;12200431
Turkey;-1,452.70;15,293.00;16,745.70;10%;10%;85325965
Turkmenistan;67.6;82.2;14.6;10%;10%;7364438
Turks and Caicos Islands;702.6;713.6;11;10%;10%;46198
Tuvalu (-);106;226;222;10%;10%;9816
Uganda;-26.3;106.3;132.6;20%;10%;48656601
Ukraine;497;1,683.50;1,186.50;10%;10%;37732836
United Arab Emirates;19,494.90;26,969.30;7,474.40;10%;10%;10483751
United Kingdom;11,856.90;79,941.30;68,084.50;10%;10%;68350000
Uruguay;420.2;1,649.00;1,228.80;10%;10%;3388081
Uzbekistan;338.4;380.8;42.4;10%;10%;35652307
Vanuatu;-6.1;7.6;13.7;45%;22%;320409
Vatican City (-);112;223;226;10%;10%;
Venezuela;-1,755.80;4,232.00;5,987.90;29%;15%;28300854
Vietnam;-123,463.00;13,098.20;136,561.20;90%;45%;100352192
West Bank Administered by Israel;-2.3;3.7;6;38%;19%;
Yemen;125.2;134.1;8.9;10%;10%;39390799
Zambia;-55.3;113.8;169.1;33%;16%;20723965
Zimbabwe;-24.1;43.8;67.8;36%;18%;16340822
